epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0521,1.11424,2.46543,1.55404,0.51287,0.48165,0.48032,0.29731,1.25187,1.69804,1.90958,0.00332323,0.00332323,0.00332323
2,96.1753,1.03631,1.52831,1.44105,0.41028,0.55221,0.45739,0.27416,1.31966,1.65572,1.92209,0.00661263,0.00661263,0.00661263
3,142.504,1.11715,1.53613,1.49834,0.38543,0.42228,0.34168,0.17813,1.72143,1.97376,2.5271,0.00985803,0.00985803,0.00985803
4,188.462,1.19756,1.62855,1.55684,0.34137,0.47894,0.3818,0.20243,1.61955,1.88543,2.2577,0.009802,0.009802,0.009802
5,234.32,1.15402,1.54918,1.51966,0.48097,0.57359,0.51069,0.31851,1.31208,1.51858,1.92701,0.009736,0.009736,0.009736
6,280.373,1.13398,1.48531,1.48839,0.52378,0.6162,0.62533,0.4087,1.15343,1.26305,1.75351,0.00967,0.00967,0.00967
7,326.447,1.10461,1.40876,1.46944,0.66342,0.57019,0.59968,0.39623,1.17905,1.2227,1.76952,0.009604,0.009604,0.009604
8,372.446,1.06667,1.33343,1.4409,0.56274,0.64056,0.60653,0.42628,1.09336,1.13528,1.6316,0.009538,0.009538,0.009538
9,418.411,1.03386,1.30247,1.41261,0.61189,0.65028,0.65706,0.46212,1.03634,1.1109,1.60856,0.009472,0.009472,0.009472
10,464.419,1.02122,1.25637,1.40162,0.59544,0.6553,0.65998,0.46704,1.04631,1.08024,1.59244,0.009406,0.009406,0.009406
11,510.522,0.99653,1.22658,1.38052,0.65782,0.69931,0.70699,0.50429,1.0353,0.98333,1.59197,0.00934,0.00934,0.00934
12,556.582,0.98752,1.17251,1.37501,0.61091,0.61918,0.67398,0.47336,1.0607,1.04417,1.60935,0.009274,0.009274,0.009274
13,602.534,0.97163,1.14568,1.36232,0.65589,0.73493,0.75813,0.52649,1.09365,0.94506,1.64247,0.009208,0.009208,0.009208
14,648.657,0.94644,1.11111,1.3387,0.59648,0.71357,0.71279,0.50196,1.05154,1.12245,1.60563,0.009142,0.009142,0.009142
15,694.633,0.92413,1.07997,1.32401,0.69962,0.69761,0.76541,0.55573,1.00949,0.91495,1.55499,0.009076,0.009076,0.009076
16,740.536,0.92636,1.03248,1.3205,0.71756,0.714,0.76988,0.56081,0.99879,0.94584,1.5452,0.00901,0.00901,0.00901
17,786.57,0.91657,1.03976,1.31254,0.69191,0.72224,0.74744,0.55775,0.99059,0.93458,1.53121,0.008944,0.008944,0.008944
18,832.551,0.90785,1.01025,1.31158,0.68898,0.6956,0.74956,0.55755,0.96365,0.98035,1.50778,0.008878,0.008878,0.008878
19,878.528,0.89434,0.9808,1.29694,0.70782,0.73682,0.7682,0.56287,0.97593,0.92208,1.51107,0.008812,0.008812,0.008812
20,924.521,0.88879,0.96239,1.29402,0.68944,0.73909,0.74882,0.54883,0.98793,0.94259,1.544,0.008746,0.008746,0.008746
21,970.507,0.86597,0.93193,1.28152,0.76921,0.71247,0.78523,0.5806,0.95187,0.89189,1.49603,0.00868,0.00868,0.00868
22,1016.6,0.86627,0.92365,1.28137,0.76236,0.71088,0.77946,0.58581,0.9427,0.9553,1.48904,0.008614,0.008614,0.008614
23,1062.55,0.86121,0.91035,1.27578,0.70809,0.75308,0.77404,0.56803,0.9779,0.92209,1.5289,0.008548,0.008548,0.008548
24,1108.58,0.84965,0.88111,1.26561,0.76835,0.71444,0.79288,0.58945,0.97799,0.90595,1.53402,0.008482,0.008482,0.008482
25,1154.81,0.81856,0.85688,1.24633,0.69384,0.76238,0.78692,0.58735,0.96945,0.88813,1.50759,0.008416,0.008416,0.008416
26,1200.85,0.82804,0.84831,1.24956,0.76856,0.73772,0.80968,0.61166,0.94685,0.87832,1.50564,0.00835,0.00835,0.00835
27,1246.84,0.82356,0.83906,1.25537,0.74659,0.73938,0.79223,0.60397,0.93986,0.88305,1.50173,0.008284,0.008284,0.008284
28,1292.78,0.81954,0.82368,1.24352,0.82882,0.72293,0.81201,0.60912,0.98553,0.86299,1.53334,0.008218,0.008218,0.008218
29,1338.74,0.80862,0.80948,1.23917,0.79254,0.72914,0.80118,0.6105,0.92968,0.88508,1.47474,0.008152,0.008152,0.008152
30,1384.81,0.80197,0.80571,1.23392,0.76648,0.75843,0.79744,0.60802,0.93916,0.88621,1.50118,0.008086,0.008086,0.008086
31,1430.85,0.79812,0.79684,1.22918,0.79106,0.76054,0.825,0.63111,0.91921,0.81234,1.47737,0.00802,0.00802,0.00802
32,1476.92,0.78218,0.76989,1.2196,0.71239,0.77283,0.78609,0.59082,0.93376,0.89317,1.49778,0.007954,0.007954,0.007954
33,1522.93,0.78925,0.7697,1.22503,0.81076,0.75906,0.82915,0.63464,0.91616,0.80171,1.47242,0.007888,0.007888,0.007888
