epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.5152,1.13472,2.4177,1.56359,0.44684,0.63373,0.54265,0.36266,1.13102,1.42254,1.67917,0.00332323,0.00332323,0.00332323
2,89.5271,1.00926,1.45759,1.41808,0.53939,0.56848,0.56664,0.36931,1.17197,1.31849,1.7198,0.00661263,0.00661263,0.00661263
3,132.938,1.07718,1.45446,1.45952,0.41314,0.53956,0.47561,0.26626,1.61153,1.62313,2.21453,0.00985803,0.00985803,0.00985803
4,176.18,1.14426,1.55413,1.51181,0.44665,0.56304,0.53096,0.33658,1.31848,1.59488,1.89181,0.009802,0.009802,0.009802
5,219.409,1.10791,1.47111,1.47757,0.57714,0.58089,0.5976,0.37536,1.29541,1.36135,1.86831,0.009736,0.009736,0.009736
6,262.718,1.08936,1.40911,1.45742,0.59166,0.64875,0.64586,0.44177,1.09987,1.13122,1.64099,0.00967,0.00967,0.00967
7,306.023,1.05724,1.3207,1.42714,0.66045,0.63562,0.69446,0.47048,1.15536,1.09021,1.69829,0.009604,0.009604,0.009604
8,349.281,1.03283,1.25488,1.41312,0.58352,0.61085,0.65697,0.45484,1.1377,1.19287,1.6817,0.009538,0.009538,0.009538
9,392.508,0.99631,1.22076,1.37865,0.62727,0.71867,0.71116,0.51127,1.01831,1.03461,1.55848,0.009472,0.009472,0.009472
10,435.756,0.97787,1.17057,1.36499,0.6484,0.69601,0.71509,0.52066,1.04937,1.00001,1.58766,0.009406,0.009406,0.009406
11,479.018,0.95788,1.14041,1.34812,0.65298,0.69288,0.74067,0.5332,1.04186,0.98436,1.59317,0.00934,0.00934,0.00934
12,522.263,0.95614,1.09844,1.34816,0.71562,0.69322,0.74793,0.54378,0.98022,0.99304,1.51529,0.009274,0.009274,0.009274
13,565.62,0.93683,1.08261,1.33396,0.74273,0.68909,0.77962,0.55656,1.03063,0.91711,1.5803,0.009208,0.009208,0.009208
14,608.971,0.90583,1.03332,1.30728,0.67752,0.65883,0.74117,0.53588,1.00248,1.06742,1.54121,0.009142,0.009142,0.009142
15,652.273,0.89153,1.00743,1.29788,0.73998,0.70687,0.77705,0.56853,1.02577,0.93735,1.55806,0.009076,0.009076,0.009076
16,695.543,0.89214,0.97001,1.2924,0.74964,0.6556,0.78057,0.57908,0.95554,0.90422,1.5022,0.00901,0.00901,0.00901
17,738.846,0.8822,0.96297,1.2878,0.67688,0.74755,0.76069,0.55421,0.98616,0.94647,1.53348,0.008944,0.008944,0.008944
18,782.093,0.87123,0.94095,1.28398,0.7748,0.72664,0.77189,0.56507,0.99962,0.95561,1.53407,0.008878,0.008878,0.008878
19,825.315,0.85949,0.91532,1.27109,0.74615,0.72531,0.78049,0.55825,1.02694,0.94373,1.56987,0.008812,0.008812,0.008812
20,868.601,0.85385,0.89171,1.26862,0.76035,0.74948,0.7955,0.59192,0.96522,0.88698,1.50263,0.008746,0.008746,0.008746
21,912.018,0.8302,0.85517,1.25133,0.78094,0.69647,0.78846,0.5843,0.96548,0.89956,1.51762,0.00868,0.00868,0.00868
22,955.286,0.82766,0.85308,1.24959,0.7929,0.71871,0.78191,0.58596,0.93167,0.89113,1.48387,0.008614,0.008614,0.008614
23,998.552,0.81909,0.84011,1.24282,0.75834,0.70212,0.77843,0.57983,0.96643,0.948,1.49443,0.008548,0.008548,0.008548
